case_name,hatch_spacing_m,scan_speed_m_s,timax_s
hs00_ss00,5.000000e-05,0.800000,0.043249
hs00_ss01,5.000000e-05,0.888889,0.040774
hs00_ss02,5.000000e-05,0.977778,0.038749
hs00_ss03,5.000000e-05,1.066667,0.037062
hs00_ss04,5.000000e-05,1.155556,0.035634
hs00_ss05,5.000000e-05,1.244444,0.034410
hs00_ss06,5.000000e-05,1.333333,0.033349
hs00_ss07,5.000000e-05,1.422222,0.032421
hs00_ss08,5.000000e-05,1.511111,0.031602
hs00_ss09,5.000000e-05,1.600000,0.030874
hs01_ss00,6.111111e-05,0.800000,0.036291
hs01_ss01,6.111111e-05,0.888889,0.034262
hs01_ss02,6.111111e-05,0.977778,0.032602
hs01_ss03,6.111111e-05,1.066667,0.031218
hs01_ss04,6.111111e-05,1.155556,0.030048
hs01_ss05,6.111111e-05,1.244444,0.029044
hs01_ss06,6.111111e-05,1.333333,0.028175
hs01_ss07,6.111111e-05,1.422222,0.027414
hs01_ss08,6.111111e-05,1.511111,0.026742
hs01_ss09,6.111111e-05,1.600000,0.026145
hs02_ss00,7.222222e-05,0.800000,0.032178
hs02_ss01,7.222222e-05,0.888889,0.030410
hs02_ss02,7.222222e-05,0.977778,0.028964
hs02_ss03,7.222222e-05,1.066667,0.027758
hs02_ss04,7.222222e-05,1.155556,0.026738
hs02_ss05,7.222222e-05,1.244444,0.025864
hs02_ss06,7.222222e-05,1.333333,0.025107
hs02_ss07,7.222222e-05,1.422222,0.024444
hs02_ss08,7.222222e-05,1.511111,0.023859
hs02_ss09,7.222222e-05,1.600000,0.023339
hs03_ss00,8.333333e-05,0.800000,0.027974
hs03_ss01,8.333333e-05,0.888889,0.026477
hs03_ss02,8.333333e-05,0.977778,0.025251
hs03_ss03,8.333333e-05,1.066667,0.024231
hs03_ss04,8.333333e-05,1.155556,0.023367
hs03_ss05,8.333333e-05,1.244444,0.022626
hs03_ss06,8.333333e-05,1.333333,0.021984
hs03_ss07,8.333333e-05,1.422222,0.021423
hs03_ss08,8.333333e-05,1.511111,0.020927
hs03_ss09,8.333333e-05,1.600000,0.020487
hs04_ss00,9.444444e-05,0.800000,0.025199
hs04_ss01,9.444444e-05,0.888889,0.023879
hs04_ss02,9.444444e-05,0.977778,0.022799
hs04_ss03,9.444444e-05,1.066667,0.021899
hs04_ss04,9.444444e-05,1.155556,0.021138
hs04_ss05,9.444444e-05,1.244444,0.020485
hs04_ss06,9.444444e-05,1.333333,0.019920
hs04_ss07,9.444444e-05,1.422222,0.019425
hs04_ss08,9.444444e-05,1.511111,0.018988
hs04_ss09,9.444444e-05,1.600000,0.018600
hs05_ss00,1.055556e-04,0.800000,0.022422
hs05_ss01,1.055556e-04,0.888889,0.021280
hs05_ss02,1.055556e-04,0.977778,0.020346
hs05_ss03,1.055556e-04,1.066667,0.019567
hs05_ss04,1.055556e-04,1.155556,0.018908
hs05_ss05,1.055556e-04,1.244444,0.018343
hs05_ss06,1.055556e-04,1.333333,0.017854
hs05_ss07,1.055556e-04,1.422222,0.017425
hs05_ss08,1.055556e-04,1.511111,0.017047
hs05_ss09,1.055556e-04,1.600000,0.016711
hs06_ss00,1.166667e-04,0.800000,0.021107
hs06_ss01,1.166667e-04,0.888889,0.020046
hs06_ss02,1.166667e-04,0.977778,0.019178
hs06_ss03,1.166667e-04,1.066667,0.018455
hs06_ss04,1.166667e-04,1.155556,0.017843
hs06_ss05,1.166667e-04,1.244444,0.017319
hs06_ss06,1.166667e-04,1.333333,0.016864
hs06_ss07,1.166667e-04,1.422222,0.016466
hs06_ss08,1.166667e-04,1.511111,0.016115
hs06_ss09,1.166667e-04,1.600000,0.015803
hs07_ss00,1.277778e-04,0.800000,0.019642
hs07_ss01,1.277778e-04,0.888889,0.018678
hs07_ss02,1.277778e-04,0.977778,0.017889
hs07_ss03,1.277778e-04,1.066667,0.017232
hs07_ss04,1.277778e-04,1.155556,0.016675
hs07_ss05,1.277778e-04,1.244444,0.016199
hs07_ss06,1.277778e-04,1.333333,0.015785
hs07_ss07,1.277778e-04,1.422222,0.015424
hs07_ss08,1.277778e-04,1.511111,0.015105
hs07_ss09,1.277778e-04,1.600000,0.014821
hs08_ss00,1.388889e-04,0.800000,0.018339
hs08_ss01,1.388889e-04,0.888889,0.017455
hs08_ss02,1.388889e-04,0.977778,0.016732
hs08_ss03,1.388889e-04,1.066667,0.016129
hs08_ss04,1.388889e-04,1.155556,0.015619
hs08_ss05,1.388889e-04,1.244444,0.015182
hs08_ss06,1.388889e-04,1.333333,0.014803
hs08_ss07,1.388889e-04,1.422222,0.014472
hs08_ss08,1.388889e-04,1.511111,0.014179
hs08_ss09,1.388889e-04,1.600000,0.013919
hs09_ss00,1.500000e-04,0.800000,0.016857
hs09_ss01,1.500000e-04,0.888889,0.016071
hs09_ss02,1.500000e-04,0.977778,0.015428
hs09_ss03,1.500000e-04,1.066667,0.014893
hs09_ss04,1.500000e-04,1.155556,0.014439
hs09_ss05,1.500000e-04,1.244444,0.014051
hs09_ss06,1.500000e-04,1.333333,0.013714
hs09_ss07,1.500000e-04,1.422222,0.013419
hs09_ss08,1.500000e-04,1.511111,0.013159
hs09_ss09,1.500000e-04,1.600000,0.012928
